Species,AMW,ABA Code,Observations,First Seen,Last Seen,Years Since,Loc Code
Band-tailed Pigeon,6.0,1,24,2010-07-30 00:00:00,2019-07-26 00:00:00,1,2
Black Vulture,164.0,1,492,2007-06-07 00:00:00,2019-12-29 00:00:00,1,1
Turkey Vulture,447.3333333333333,1,1342,2007-03-15 00:00:00,2019-12-29 00:00:00,1,1
Double-toothed Kite,0.08333333333333333,5,1,2019-01-07 00:00:00,2019-01-07 00:00:00,1,6
Broad-winged Hawk,14.0,1,42,2008-04-12 00:00:00,2019-05-07 00:00:00,1,1
Masked Tityra,0.16666666666666666,5,2,2019-01-05 00:00:00,2019-01-07 00:00:00,1,6
Yellow-bellied Flycatcher,3.6666666666666665,1,11,2009-05-05 00:00:00,2019-01-08 00:00:00,1,1
Yellow-throated Vireo,14.333333333333334,1,43,2009-05-02 00:00:00,2019-09-15 00:00:00,1,1
Northern Rough-winged Swallow,66.0,1,198,2008-04-12 00:00:00,2019-06-27 00:00:00,1,1
Golden-winged Warbler,2.25,2,9,2013-05-07 00:00:00,2019-09-15 00:00:00,1,1
Black-and-white Warbler,37.0,1,111,2008-03-17 00:00:00,2019-09-28 00:00:00,1,1
Mourning Warbler,5.0,1,15,2008-05-15 00:00:00,2019-09-15 00:00:00,1,1
Chestnut-sided Warbler,10.0,1,30,2010-05-10 00:00:00,2019-09-28 00:00:00,1,1
Bananaquit,0.6363636363636364,4,7,2019-01-05 00:00:00,2019-01-08 00:00:00,1,6
Yellow-faced Grassquit,0.4,3,4,2019-01-07 00:00:00,2019-01-08 00:00:00,1,6
Blue-winged Teal,71.0,1,213,2008-03-15 00:00:00,2019-12-27 00:00:00,1,1
Northern Pintail,57.666666666666664,1,173,2007-06-08 00:00:00,2019-12-22 00:00:00,1,1
Redhead,31.0,1,93,2007-11-22 00:00:00,2019-11-22 00:00:00,1,1
Lesser Scaup,72.66666666666667,1,218,2007-11-22 00:00:00,2019-12-22 00:00:00,1,1
Pied-billed Grebe,107.0,1,321,2007-06-04 00:00:00,2019-12-22 00:00:00,1,1
American Coot,160.0,1,480,2007-06-09 00:00:00,2019-12-22 00:00:00,1,1
Sandhill Crane,24.0,1,72,2008-09-03 00:00:00,2019-12-14 00:00:00,1,1
Whooping Crane,1.0,2,5,2010-03-17 00:00:00,2019-02-08 00:00:00,1,2
Killdeer,288.3333333333333,1,865,2007-04-26 00:00:00,2019-12-27 00:00:00,1,1
Wilson's Snipe,23.666666666666668,1,71,2009-01-24 00:00:00,2019-05-31 00:00:00,1,1
Spotted Sandpiper,60.0,1,180,2008-03-15 00:00:00,2019-12-22 00:00:00,1,1
Greater Yellowlegs,64.66666666666667,1,194,2009-01-24 00:00:00,2019-12-29 00:00:00,1,1
Willet,26.666666666666668,1,80,2007-06-09 00:00:00,2019-05-19 00:00:00,1,1
Lesser Yellowlegs,38.0,1,114,2009-04-21 00:00:00,2019-07-15 00:00:00,1,1
Laughing Gull,60.666666666666664,1,182,2007-06-05 00:00:00,2019-12-29 00:00:00,1,1
Ring-billed Gull,224.33333333333334,1,673,2007-02-23 00:00:00,2019-12-22 00:00:00,1,1
Forster's Tern,67.0,1,201,2008-03-15 00:00:00,2019-12-22 00:00:00,1,1
Royal Tern,13.75,1,55,2008-04-12 00:00:00,2019-05-19 00:00:00,1,2
Black Skimmer,3.5,1,28,2009-05-02 00:00:00,2018-01-11 00:00:00,2,2
Anhinga,18.333333333333332,1,55,2007-06-07 00:00:00,2019-05-19 00:00:00,1,1
Double-crested Cormorant,228.33333333333334,1,685,2007-02-23 00:00:00,2019-12-22 00:00:00,1,1
American White Pelican,80.33333333333333,1,241,2008-03-14 00:00:00,2019-12-22 00:00:00,1,1
Brown Pelican,25.75,1,103,2007-06-05 00:00:00,2019-07-28 00:00:00,1,2
Great Blue Heron,307.0,1,921,2007-03-17 00:00:00,2019-12-27 00:00:00,1,1
Great Egret,229.33333333333334,1,688,2007-06-04 00:00:00,2019-12-29 00:00:00,1,1
Cattle Egret,91.66666666666667,1,275,2007-06-04 00:00:00,2019-06-30 00:00:00,1,1
Black-crowned Night-Heron,18.0,1,54,2007-06-07 00:00:00,2019-10-11 00:00:00,1,1
Roseate Spoonbill,14.0,1,56,2008-04-12 00:00:00,2019-12-29 00:00:00,1,2
Osprey,59.666666666666664,1,179,2008-03-16 00:00:00,2019-12-22 00:00:00,1,1
Downy Woodpecker,275.3333333333333,1,826,2007-02-23 00:00:00,2019-12-22 00:00:00,1,1
American Kestrel,208.0,1,624,2007-11-23 00:00:00,2019-12-29 00:00:00,1,1
Merlin,11.0,1,33,2009-01-24 00:00:00,2019-09-28 00:00:00,1,1
Eastern Phoebe,195.33333333333334,1,586,2007-03-15 00:00:00,2019-12-27 00:00:00,1,1
Blue-gray Gnatcatcher,188.33333333333334,1,565,2008-03-29 00:00:00,2019-12-21 00:00:00,1,1
Eastern Meadowlark,115.0,1,345,2007-11-21 00:00:00,2019-12-29 00:00:00,1,1
Great-tailed Grackle,344.0,1,1032,2007-04-12 00:00:00,2019-12-29 00:00:00,1,1
Yellow-rumped Warbler,233.66666666666666,1,701,2007-03-15 00:00:00,2019-12-22 00:00:00,1,1
Northern Cardinal,593.6666666666666,1,1781,2007-02-23 00:00:00,2019-12-22 00:00:00,1,1
Canada Goose,168.0,1,504,2007-11-28 00:00:00,2019-12-22 00:00:00,1,1
Wood Duck,40.333333333333336,1,121,2008-05-08 00:00:00,2019-12-21 00:00:00,1,1
Northern Shoveler,104.66666666666667,1,314,2007-11-22 00:00:00,2019-12-22 00:00:00,1,1
Gadwall,123.33333333333333,1,370,2007-11-23 00:00:00,2019-12-22 00:00:00,1,1
Mallard,300.3333333333333,1,901,2007-04-06 00:00:00,2019-12-22 00:00:00,1,1
Green-winged Teal,74.0,1,222,2009-01-24 00:00:00,2019-12-22 00:00:00,1,1
Ring-necked Duck,62.666666666666664,1,188,2008-11-15 00:00:00,2019-12-22 00:00:00,1,1
Rock Pigeon,699.3333333333334,1,1049,2008-02-13 00:00:00,2019-12-27 00:00:00,1,1
Eurasian Collared-Dove,324.0,1,486,2008-05-07 00:00:00,2019-12-22 00:00:00,1,1
Mourning Dove,660.6666666666666,1,1982,2007-04-04 00:00:00,2019-12-27 00:00:00,1,1
American Avocet,26.333333333333332,1,79,2008-04-12 00:00:00,2019-07-15 00:00:00,1,1
Least Sandpiper,80.66666666666667,1,242,2009-01-24 00:00:00,2019-07-15 00:00:00,1,1
Long-billed Dowitcher,20.0,1,60,2009-01-24 00:00:00,2019-05-25 00:00:00,1,1
Snowy Egret,102.33333333333333,1,307,2007-04-26 00:00:00,2019-12-29 00:00:00,1,1
Northern Harrier,63.0,1,189,2007-11-08 00:00:00,2019-12-27 00:00:00,1,1
Sharp-shinned Hawk,23.333333333333332,1,70,2009-01-07 00:00:00,2019-09-28 00:00:00,1,1
Red-tailed Hawk,324.3333333333333,1,973,2004-09-23 00:00:00,2019-12-29 00:00:00,1,1
Red-bellied Woodpecker,282.6666666666667,1,848,2007-02-23 00:00:00,2019-12-27 00:00:00,1,1
Northern Flicker,144.66666666666666,1,434,2007-10-27 00:00:00,2019-12-22 00:00:00,1,1
Carolina Chickadee,368.3333333333333,1,1105,2007-02-23 00:00:00,2019-12-27 00:00:00,1,1
Black-crested Titmouse,28.6,2,143,2007-03-15 00:00:00,2019-07-09 00:00:00,1,2
Golden-crowned Kinglet,58.666666666666664,1,176,2008-12-06 00:00:00,2019-12-22 00:00:00,1,1
Ruby-crowned Kinglet,185.33333333333334,1,556,2007-03-18 00:00:00,2019-12-22 00:00:00,1,1
Winter Wren,17.666666666666668,1,53,2008-11-01 00:00:00,2019-09-28 00:00:00,1,1
Carolina Wren,360.3333333333333,1,1081,2007-02-23 00:00:00,2019-12-27 00:00:00,1,1
Bewick's Wren,85.33333333333333,1,256,2007-03-17 00:00:00,2019-07-27 00:00:00,1,1
Brown Thrasher,49.666666666666664,1,149,2007-04-21 00:00:00,2019-12-22 00:00:00,1,1
Hermit Thrush,61.666666666666664,1,185,2008-03-14 00:00:00,2019-12-22 00:00:00,1,1
American Robin,307.0,1,921,2007-03-19 00:00:00,2019-12-27 00:00:00,1,1
American Goldfinch,148.66666666666666,1,446,2008-03-19 00:00:00,2019-12-22 00:00:00,1,1
Field Sparrow,75.66666666666667,1,227,2007-03-17 00:00:00,2019-12-22 00:00:00,1,1
Fox Sparrow,48.333333333333336,1,145,2008-12-13 00:00:00,2019-12-22 00:00:00,1,1
Dark-eyed Junco,204.33333333333334,1,613,2007-02-23 00:00:00,2019-12-22 00:00:00,1,1
White-crowned Sparrow,77.66666666666667,1,233,2007-03-17 00:00:00,2019-12-22 00:00:00,1,1
Harris's Sparrow,48.0,1,144,2009-01-24 00:00:00,2019-12-22 00:00:00,1,1
White-throated Sparrow,140.0,1,420,2007-03-17 00:00:00,2019-12-22 00:00:00,1,1
Savannah Sparrow,110.66666666666667,1,332,2008-04-05 00:00:00,2019-12-27 00:00:00,1,1
Song Sparrow,156.33333333333334,1,469,2008-01-26 00:00:00,2019-12-22 00:00:00,1,1
Lincoln's Sparrow,67.66666666666667,1,203,2007-03-17 00:00:00,2019-12-22 00:00:00,1,1
Swamp Sparrow,34.333333333333336,1,103,2008-01-26 00:00:00,2019-12-22 00:00:00,1,1
Spotted Towhee,66.66666666666667,1,200,2007-03-17 00:00:00,2019-12-22 00:00:00,1,1
Red-winged Blackbird,267.0,1,801,2007-03-17 00:00:00,2019-12-29 00:00:00,1,1
Brown-headed Cowbird,173.66666666666666,1,521,2007-03-17 00:00:00,2019-10-26 00:00:00,1,1
Orange-crowned Warbler,75.0,1,225,2007-02-23 00:00:00,2019-12-22 00:00:00,1,1
Common Yellowthroat,67.33333333333333,1,202,2008-04-12 00:00:00,2019-12-22 00:00:00,1,1
Crested Caracara,31.0,2,124,2009-03-14 00:00:00,2019-12-29 00:00:00,1,1
White-eyed Vireo,146.0,1,438,2008-03-16 00:00:00,2019-07-04 00:00:00,1,1
American Crow,474.6666666666667,1,1424,2007-02-23 00:00:00,2019-12-27 00:00:00,1,1
House Finch,442.6666666666667,1,664,2007-03-17 00:00:00,2019-12-22 00:00:00,1,1
Pine Warbler,31.0,1,93,2008-03-15 00:00:00,2019-12-22 00:00:00,1,1
Mottled Duck,11.75,1,47,2009-05-02 00:00:00,2019-05-19 00:00:00,1,2
Sora,12.333333333333334,1,37,2010-12-19 00:00:00,2019-06-16 00:00:00,1,1
Common Gallinule,14.0,1,56,2007-06-04 00:00:00,2019-05-19 00:00:00,1,2
White-faced Ibis,27.666666666666668,1,83,2008-04-12 00:00:00,2019-07-15 00:00:00,1,1
Red-shouldered Hawk,118.33333333333333,1,355,2007-06-07 00:00:00,2019-12-27 00:00:00,1,1
Great Horned Owl,29.666666666666668,1,89,2006-05-15 00:00:00,2019-12-27 00:00:00,1,1
Yellow-bellied Sapsucker,42.666666666666664,1,128,2007-11-23 00:00:00,2019-12-22 00:00:00,1,1
Pileated Woodpecker,38.333333333333336,1,115,2008-04-12 00:00:00,2019-10-20 00:00:00,1,1
Vermilion Flycatcher,11.75,1,47,2010-07-25 00:00:00,2019-07-16 00:00:00,1,2
Blue-headed Vireo,12.0,1,36,2009-04-21 00:00:00,2019-12-21 00:00:00,1,1
Tufted Titmouse,232.0,1,696,2007-04-21 00:00:00,2019-12-22 00:00:00,1,1
House Wren,64.66666666666667,1,194,2009-03-06 00:00:00,2019-12-22 00:00:00,1,1
Sedge Wren,6.666666666666667,1,20,2009-03-19 00:00:00,2019-12-27 00:00:00,1,1
Marsh Wren,19.333333333333332,1,58,2009-03-16 00:00:00,2019-12-22 00:00:00,1,1
European Starling,1043.3333333333333,1,1565,2008-01-26 00:00:00,2019-12-27 00:00:00,1,1
Northern Mockingbird,501.0,1,1503,2007-02-23 00:00:00,2019-12-22 00:00:00,1,1
Eastern Bluebird,232.0,1,696,2008-01-26 00:00:00,2019-12-27 00:00:00,1,1
American Pipit,58.333333333333336,1,175,2009-01-24 00:00:00,2019-11-04 00:00:00,1,1
Sprague's Pipit,0.5,2,5,2014-01-19 00:00:00,2018-01-11 00:00:00,2,2
Common Grackle,226.33333333333334,1,679,2007-04-04 00:00:00,2019-12-27 00:00:00,1,1
Common Goldeneye,23.666666666666668,1,71,2010-01-23 00:00:00,2019-12-16 00:00:00,1,1
Ruddy Duck,62.666666666666664,1,188,2007-11-22 00:00:00,2019-12-22 00:00:00,1,1
Least Grebe,3.4,2,17,2010-03-13 00:00:00,2019-01-06 00:00:00,1,2
Eared Grebe,11.666666666666666,1,35,2009-03-07 00:00:00,2019-05-04 00:00:00,1,1
American Bittern,0.8666666666666667,1,13,2009-03-14 00:00:00,2015-12-20 00:00:00,5,1
Little Blue Heron,55.0,1,165,2007-06-04 00:00:00,2019-05-19 00:00:00,1,1
Tricolored Heron,31.0,1,93,2008-04-12 00:00:00,2019-05-19 00:00:00,1,1
White Ibis,33.666666666666664,1,101,2007-06-04 00:00:00,2019-12-29 00:00:00,1,1
White-tailed Hawk,4.6,2,23,2009-12-27 00:00:00,2019-02-08 00:00:00,1,2
Belted Kingfisher,78.33333333333333,1,235,2008-04-12 00:00:00,2019-12-29 00:00:00,1,1
Blue Jay,300.3333333333333,1,901,2007-02-23 00:00:00,2019-12-22 00:00:00,1,1
Cedar Waxwing,181.0,1,543,2008-01-12 00:00:00,2019-12-22 00:00:00,1,1
Chipping Sparrow,97.0,1,291,2007-03-17 00:00:00,2019-12-22 00:00:00,1,1
Vesper Sparrow,30.666666666666668,1,92,2007-11-23 00:00:00,2019-06-16 00:00:00,1,1
Brewer's Blackbird,32.0,1,96,2009-07-22 00:00:00,2019-07-26 00:00:00,1,1
Palm Warbler,5.666666666666667,1,17,2011-02-12 00:00:00,2019-10-03 00:00:00,1,1
Inca Dove,30.666666666666668,1,92,2007-05-12 00:00:00,2019-07-13 00:00:00,1,1
Black-chinned Hummingbird,65.66666666666667,1,197,2007-03-17 00:00:00,2019-07-16 00:00:00,1,1
Buff-bellied Hummingbird,1.8,2,18,2008-04-10 00:00:00,2018-01-11 00:00:00,2,2
House Sparrow,730.6666666666666,1,1096,2007-04-03 00:00:00,2019-12-22 00:00:00,1,1
Chimney Swift,130.66666666666666,1,392,2008-04-12 00:00:00,2019-10-14 00:00:00,1,1
Ruby-throated Hummingbird,53.333333333333336,1,160,2008-04-11 00:00:00,2019-09-15 00:00:00,1,1
Ruddy Turnstone,15.333333333333334,1,46,2008-04-11 00:00:00,2019-05-28 00:00:00,1,1
Sanderling,19.0,1,57,2007-06-05 00:00:00,2019-05-29 00:00:00,1,1
Least Tern,14.0,1,42,2009-05-02 00:00:00,2019-05-19 00:00:00,1,1
Caspian Tern,14.333333333333334,1,43,2009-05-02 00:00:00,2019-07-28 00:00:00,1,1
Sandwich Tern,5.75,1,23,2008-04-12 00:00:00,2019-05-19 00:00:00,1,2
Black-bellied Plover,14.666666666666666,1,44,2008-04-11 00:00:00,2019-05-30 00:00:00,1,1
American Golden-Plover,6.0,1,18,2008-04-12 00:00:00,2019-05-30 00:00:00,1,1
Wilson's Plover,1.75,1,7,2009-05-02 00:00:00,2019-05-19 00:00:00,1,2
Semipalmated Plover,19.0,1,57,2008-04-12 00:00:00,2019-06-01 00:00:00,1,1
Piping Plover,1.3,2,13,2008-04-12 00:00:00,2018-08-17 00:00:00,2,2
Herring Gull,58.0,1,174,2008-04-12 00:00:00,2019-12-22 00:00:00,1,1
Black Tern,15.666666666666666,1,47,2009-05-02 00:00:00,2019-05-19 00:00:00,1,1
Reddish Egret,5.5,1,22,2009-05-02 00:00:00,2019-05-19 00:00:00,1,2
Scissor-tailed Flycatcher,252.0,1,756,2007-04-11 00:00:00,2019-06-30 00:00:00,1,1
Loggerhead Shrike,76.33333333333333,1,229,2007-11-23 00:00:00,2019-12-29 00:00:00,1,1
Horned Lark,27.666666666666668,1,83,2009-05-02 00:00:00,2019-10-06 00:00:00,1,1
Barn Swallow,338.6666666666667,1,1016,2007-04-04 00:00:00,2019-09-15 00:00:00,1,1
Common Tern,3.75,1,15,2013-08-12 00:00:00,2019-05-19 00:00:00,1,2
Purple Martin,103.66666666666667,1,311,2007-04-06 00:00:00,2019-07-10 00:00:00,1,1
Orchard Oriole,36.333333333333336,1,109,2008-04-12 00:00:00,2019-07-16 00:00:00,1,1
Cape May Warbler,0.5,1,4,2009-05-02 00:00:00,2018-08-14 00:00:00,2,2
Indigo Bunting,110.33333333333333,1,331,2007-04-21 00:00:00,2019-10-14 00:00:00,1,1
Black-necked Stilt,35.0,1,105,2007-06-09 00:00:00,2019-07-25 00:00:00,1,1
Neotropic Cormorant,64.66666666666667,1,194,2008-04-12 00:00:00,2019-12-27 00:00:00,1,1
Swainson's Hawk,51.0,1,153,2008-04-12 00:00:00,2019-07-15 00:00:00,1,1
Eastern Kingbird,72.0,1,216,2007-04-21 00:00:00,2019-09-08 00:00:00,1,1
Red-eyed Vireo,82.66666666666667,1,248,2008-04-12 00:00:00,2019-09-15 00:00:00,1,1
Cliff Swallow,169.0,1,507,2008-04-12 00:00:00,2019-07-12 00:00:00,1,1
Gray Catbird,41.333333333333336,1,124,2008-04-12 00:00:00,2019-09-28 00:00:00,1,1
Swainson's Thrush,45.666666666666664,1,137,2008-05-08 00:00:00,2019-09-28 00:00:00,1,1
Baltimore Oriole,25.666666666666668,1,77,2007-04-28 00:00:00,2019-06-27 00:00:00,1,1
Bronzed Cowbird,7.75,1,31,2010-07-26 00:00:00,2019-07-16 00:00:00,1,2
American Redstart,23.0,1,69,2009-05-05 00:00:00,2019-09-28 00:00:00,1,1
Summer Tanager,49.666666666666664,1,149,2008-04-12 00:00:00,2019-07-16 00:00:00,1,1
Rose-breasted Grosbeak,9.0,1,27,2009-05-05 00:00:00,2019-09-15 00:00:00,1,1
Yellow-billed Cuckoo,73.66666666666667,1,221,2009-05-17 00:00:00,2019-07-16 00:00:00,1,1
Common Nighthawk,50.666666666666664,1,152,2008-04-12 00:00:00,2019-09-11 00:00:00,1,1
Gray-cheeked Thrush,9.333333333333334,1,28,2012-05-06 00:00:00,2019-09-15 00:00:00,1,1
Wood Thrush,2.5,1,10,2013-06-07 00:00:00,2019-06-27 00:00:00,1,2
Yellow-breasted Chat,20.0,1,60,2009-05-12 00:00:00,2019-07-16 00:00:00,1,1
Worm-eating Warbler,0.6666666666666666,1,8,2008-04-12 00:00:00,2017-06-17 00:00:00,3,2
Northern Waterthrush,11.333333333333334,1,34,2008-04-12 00:00:00,2019-06-13 00:00:00,1,1
Hooded Warbler,7.0,1,21,2008-04-12 00:00:00,2019-06-27 00:00:00,1,1
Yellow Warbler,82.0,1,246,2008-05-11 00:00:00,2019-07-12 00:00:00,1,1
Scarlet Tanager,6.0,1,18,2008-04-12 00:00:00,2019-09-28 00:00:00,1,1
Red-headed Woodpecker,18.0,1,54,2008-04-12 00:00:00,2019-10-20 00:00:00,1,1
Eastern Wood-Pewee,34.0,1,102,2008-04-19 00:00:00,2019-09-28 00:00:00,1,1
Greater White-fronted Goose,12.0,1,36,2009-12-26 00:00:00,2019-10-20 00:00:00,1,1
American Wigeon,80.33333333333333,1,241,2007-11-23 00:00:00,2019-11-22 00:00:00,1,1
Canvasback,26.0,1,78,2007-11-22 00:00:00,2019-12-16 00:00:00,1,1
Hooded Merganser,29.333333333333332,1,88,2009-01-24 00:00:00,2019-12-21 00:00:00,1,1
King Rail,1.5,1,6,2011-02-12 00:00:00,2019-05-19 00:00:00,1,2
Clapper Rail,4.5,1,18,2009-12-27 00:00:00,2019-05-19 00:00:00,1,2
Yellow-crowned Night-Heron,28.333333333333332,1,85,2007-05-12 00:00:00,2019-07-08 00:00:00,1,1
Cooper's Hawk,61.666666666666664,1,185,2008-03-14 00:00:00,2019-12-14 00:00:00,1,1
Ash-throated Flycatcher,20.25,1,81,2009-07-12 00:00:00,2019-07-16 00:00:00,1,2
Tree Swallow,49.666666666666664,1,149,2008-04-12 00:00:00,2019-09-28 00:00:00,1,1
Bank Swallow,14.333333333333334,1,43,2009-03-31 00:00:00,2019-06-16 00:00:00,1,1
Cave Swallow,21.333333333333332,1,64,2009-03-15 00:00:00,2019-07-09 00:00:00,1,1
LeConte's Sparrow,10.666666666666666,1,32,2009-12-08 00:00:00,2019-09-28 00:00:00,1,1
Boat-tailed Grackle,13.0,1,52,2007-06-05 00:00:00,2019-05-19 00:00:00,1,2
American Oystercatcher,4.25,1,17,2007-06-09 00:00:00,2019-05-19 00:00:00,1,2
White-winged Dove,156.66666666666666,1,470,2008-03-19 00:00:00,2019-12-27 00:00:00,1,1
Northern Bobwhite,21.5,1,86,2003-11-23 00:00:00,2019-06-30 00:00:00,1,2
Long-billed Curlew,7.666666666666667,1,23,2008-04-12 00:00:00,2019-07-15 00:00:00,1,1
Gull-billed Tern,2.75,1,11,2008-04-12 00:00:00,2019-05-19 00:00:00,1,2
Wood Stork,5.333333333333333,1,16,2009-08-21 00:00:00,2019-05-18 00:00:00,1,1
Harris's Hawk,8.25,1,33,2010-07-24 00:00:00,2019-07-10 00:00:00,1,2
Golden-fronted Woodpecker,30.5,1,122,2008-07-04 00:00:00,2019-07-16 00:00:00,1,2
Ladder-backed Woodpecker,42.0,1,168,2007-03-17 00:00:00,2019-07-16 00:00:00,1,2
Aplomado Falcon,0.3333333333333333,3,4,2014-06-29 00:00:00,2018-01-07 00:00:00,2,2
Botteri's Sparrow,2.4,2,12,2010-07-25 00:00:00,2019-07-15 00:00:00,1,2
Cassin's Sparrow,13.0,1,52,2009-07-02 00:00:00,2019-07-15 00:00:00,1,2
Lark Sparrow,77.0,1,231,2007-11-08 00:00:00,2019-07-15 00:00:00,1,1
Brown-crested Flycatcher,10.25,1,41,2010-07-24 00:00:00,2019-07-15 00:00:00,1,2
Curve-billed Thrasher,14.25,1,57,2010-07-24 00:00:00,2019-07-10 00:00:00,1,2
Snow Goose,19.333333333333332,1,58,2009-01-14 00:00:00,2019-12-05 00:00:00,1,1
Ross's Goose,4.5,1,27,2009-01-24 00:00:00,2018-01-14 00:00:00,2,1
White-tailed Kite,5.5,1,22,2011-02-13 00:00:00,2019-05-19 00:00:00,1,2
Fulvous Whistling-Duck,2.5,1,10,2008-04-12 00:00:00,2019-05-19 00:00:00,1,2
Whimbrel,7.333333333333333,1,22,2012-04-06 00:00:00,2019-05-30 00:00:00,1,1
Stilt Sandpiper,20.666666666666668,1,62,2009-05-02 00:00:00,2019-05-25 00:00:00,1,1
Dunlin,12.0,1,36,2008-04-12 00:00:00,2019-05-30 00:00:00,1,1
Western Sandpiper,16.666666666666668,1,50,2008-04-12 00:00:00,2019-07-28 00:00:00,1,1
Wilson's Phalarope,24.333333333333332,1,73,2009-04-21 00:00:00,2019-07-15 00:00:00,1,1
Dickcissel,92.0,1,276,2009-04-21 00:00:00,2019-07-08 00:00:00,1,1
Purple Gallinule,4.75,1,19,2008-04-12 00:00:00,2019-05-19 00:00:00,1,2
Ruff,0.05555555555555555,3,2,2014-04-27 00:00:00,2014-04-27 00:00:00,6,2
Pectoral Sandpiper,23.333333333333332,1,70,2009-04-21 00:00:00,2019-05-26 00:00:00,1,1
Semipalmated Sandpiper,28.333333333333332,1,85,2009-04-21 00:00:00,2019-05-31 00:00:00,1,1
Least Bittern,0.6666666666666666,1,8,2013-05-12 00:00:00,2017-08-12 00:00:00,3,2
Green Heron,48.333333333333336,1,145,2007-06-04 00:00:00,2019-09-15 00:00:00,1,1
Seaside Sparrow,2.0,1,8,2009-12-27 00:00:00,2019-05-19 00:00:00,1,2
